Company,Job Title,Tools,Source
The Hog,Founding GTM Engineer at The Hog,,Google Jobs scrape
Patch,Go-to-Market Engineer,Clay; Salesforce; HubSpot; Zapier; Gong; Dust,Google Jobs scrape
Productboard,Associate GTM Engineer,,Google Jobs scrape
Firmable,GTM Engineer,Clay; HubSpot; Smartlead; Lemlist; n8n; Claude,Google Jobs scrape
CodeRabbit,Senior GTM Systems Engineer (Salesforce),Salesforce; Claude,Google Jobs scrape
Weave,Founding GTM Engineer,,Google Jobs scrape
GatherUp,Growth Engineer / Go-To-Market Engineer,Clay; Apollo; ZoomInfo; n8n; Zapier; Salesforce; HubSpot; ElevenLabs,Google Jobs scrape
HeyGen,GTM Engineer,,Google Jobs scrape
Ironclad,GTM AI Systems Engineer,,Google Jobs scrape
